date,ntl_mean,ntl_sum,ntl_n
2016-04-20,6.222424867017403,12948.866148263216,2081
2016-04-21,5.701554145600427,11864.934176994488,2081
2016-04-22,6.21085271863146,12924.784507472068,2081
2016-04-23,5.497490778056223,11440.278309135,2081
2016-04-24,5.591710883582522,11636.350348735228,2081
2016-04-25,5.916685722138624,12312.622987770475,2081
2016-04-26,6.723614950506361,13991.842712003738,2081
2016-04-27,5.481119814092327,11406.210333126131,2081
2016-04-28,5.693063342358634,11847.264815448318,2081
2016-04-29,5.868064663283874,12211.442564293742,2081
2016-05-05,6.149008008198976,12796.08566506207,2081
2016-05-06,6.186144359778579,12873.366412699224,2081
2016-05-07,6.763543325883159,14074.933661162851,2081
2016-05-08,5.576838852851108,11605.401652783155,2081
2016-05-09,4.831570659339399,10054.49854208529,2081
2016-05-10,6.067223262745334,12625.89160977304,2081
2016-05-11,6.089597541622277,12672.452484115958,2081
2016-05-12,6.298406183168271,13106.983267173173,2081
2016-05-13,6.3194889902481375,13150.856588706374,2081
2016-05-14,5.090859898662751,10594.079449117184,2081
2016-05-15,5.445816616458368,11332.744378849864,2081
2016-05-16,6.278146911202583,13064.823722212575,2081
2016-05-17,6.990484759784386,14547.198785111308,2081
2016-05-18,5.595660734024832,11644.569987505674,2081
2016-05-19,4.950289473058922,10301.552393435615,2081
2016-05-20,5.921525942096255,12322.695485502309,2081
2016-05-21,6.182556144459954,12865.899336621163,2081
2016-05-22,5.846521856817777,12166.611984037794,2081
2016-05-23,6.021788434701952,12531.34173261476,2081
2016-05-24,4.905408250627586,10208.154569556003,2081
2016-05-25,4.894591197666074,10185.6442823431,2081
2016-05-26,6.06476366976191,12620.773196774537,2081
2016-05-28,6.371902784636062,13259.929694827646,2081
2016-06-01,5.043344301652702,10495.199491739271,2081
2016-06-02,6.176792657372472,12853.905519992111,2081
2016-06-03,5.777105065119032,12022.155640512705,2081
2016-06-04,5.061149101154784,10532.251279503109,2081
2016-06-05,4.984404579485225,10372.545929908752,2081
2016-06-06,6.050666224349295,12591.436412870884,2081
2016-06-08,5.83860441052759,12150.135778307917,2081
2016-06-09,5.380861948941087,11197.573715746405,2081
2016-06-10,5.229346970664602,10882.271045953035,2081
2016-06-11,5.548422043510265,11546.26627254486,2081
